Company,SpecificBeanOrigin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,BroadBeanOrigin
A. Morin,Pablino,1319,2014,0.7,France,4.0,,Peru
A. Morin,Chuao,1015,2013,0.7,France,4.0,Trinitario,Venezuela
A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,,Peru
Amano,Morobe,725,2011,0.7,U.S.A.,4.0,,Papua New Guinea
Amano,Guayas,470,2010,0.7,U.S.A.,4.0,,Ecuador
Amedei,Porcelana,111,2007,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
Amedei,Nine,111,2007,0.75,Italy,4.0,Blend,
Amedei,Chuao,111,2007,0.7,Italy,5.0,Trinitario,Venezuela
Amedei,Madagascar,123,2007,0.7,Italy,4.0,Trinitario (85% Criollo),Madagascar
Amedei,Toscano Black,40,2006,0.7,Italy,5.0,Blend,
Amedei,Toscano Black,75,2006,0.66,Italy,4.0,Blend,
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Forastero (Parazinho),Brazil
Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,,Costa Rica
Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4.0,,Haiti
Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4.0,Trinitario,Indonesia
Beschle (Felchlin),Ecuador,636,2011,0.72,Switzerland,4.0,,Ecuador
Bonnat,Kaori,1339,2014,0.75,France,4.0,,Brazil
Bonnat,Haiti,629,2011,0.75,France,4.0,,Haiti
Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4.0,Criollo,Madagascar
Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4.0,,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4.0,Criollo,Venezuela
Bonnat,Madagascar,75,2006,0.75,France,4.0,Trinitario,Madagascar
Bonnat,Chuao,81,2006,0.75,France,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Chuao,1355,2014,0.7,U.S.A.,4.0,Trinitario,Venezuela
Cacao Sampaka,Papua,523,2010,0.71,Spain,4.0,,Papua New Guinea
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,0.7,Spain,4.0,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,0.7,Spain,4.0,Criollo,Mexico
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,0.72,U.S.A.,4.0,Trinitario,Belize
Claudio Corallo,Terreiro Velho P.,227,2008,0.75,Sao Tome,4.0,Forastero,Sao Tome & Principe
Danta,Las Acacias E.,987,2012,0.7,Guatemala,4.0,Criollo,Guatemala
Domori,Porcelana,111,2007,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
Domori,Ecuador,192,2007,0.7,Italy,4.0,Forastero (Arriba),Ecuador
Domori,"Ocumare 67, Puertofino",192,2007,0.7,Italy,4.0,Criollo (Ocumare 67),Venezuela
Duffy's,"Rio Dulce, Xoco",1662,2015,0.7,U.K.,4.0,Criollo,Guatemala
Durci,Corona Arriba,1630,2015,0.7,U.S.A.,4.0,,Ecuador
Felchlin,"Alto Beni, Cru Savage",56,2006,0.68,Switzerland,4.0,Criollo (Wild),Bolivia
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,0.7,U.S.A.,4.0,Trinitario,Peru
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,0.74,U.S.A.,4.0,Trinitario,Madagascar
Fresco,"Markham Valley, #220, MR, MC",927,2012,0.69,U.S.A.,4.0,Trinitario,Papua New Guinea
Fresco,"Chuao, #217, DR, MC",745,2011,0.7,U.S.A.,4.0,Trinitario,Venezuela
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,0.74,U.S.A.,4.0,Amazon mix,Costa Rica
Georgia Ramon,ABOCFA Coop,1642,2015,0.7,Germany,4.0,Forastero,Ghana
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,0.72,U.S.A.,4.0,Beniano,Bolivia
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,0.7,U.K.,4.0,Trinitario,St. Lucia
Idilio (Felchlin),"Porcelana, Zulia",733,2011,0.74,Switzerland,4.0,Criollo,Venezuela
